,mass_A
t,x
29.0558700000000000,-0.0438507700000000
29.1039300000000000,-0.0347479600000000
29.1679000000000000,-0.0223227000000000
29.2158000000000000,-0.0068482830000000
29.2640000000000000,0.0071220660000000
29.3121000000000000,0.0205913700000000
29.3600000000000000,0.0328244100000000
29.4078700000000000,0.0420508000000000
29.4558300000000000,0.0464109700000000
29.5039000000000000,0.0483576500000000
29.5679000000000000,0.0464010500000000
29.6160300000000000,0.0405996800000000
29.6639000000000000,0.0311848900000000
29.7118300000000000,0.0197556900000000
29.7599300000000000,0.0065239160000000
29.8079000000000000,-0.0075104840000000
29.8558300000000000,-0.0205366200000000
29.9198000000000000,-0.0318774700000000
29.9678300000000000,-0.0405135900000000
30.0159000000000000,-0.0489724400000000
30.0640000000000000,-0.0512758000000000
30.1120000000000000,-0.0509235000000000
30.1598700000000000,-0.0477895300000000
30.2078000000000000,-0.0402876800000000
30.2558300000000000,-0.0294890400000000
30.3199700000000000,-0.0160569200000000
30.3678700000000000,-0.0021585840000000
30.4158300000000000,0.0105777500000000
30.4640000000000000,0.0233776200000000
30.5119000000000000,0.0328444100000000
30.5599000000000000,0.0410340100000000
30.6078700000000000,0.0462848000000000
30.6558000000000000,0.0461416900000000
30.7199000000000000,0.0423350400000000
30.7678700000000000,0.0349976600000000
30.8158700000000000,0.0251457800000000
30.8639300000000000,0.0133088000000000
30.9119300000000000,-0.0004863805000000
30.9599000000000000,-0.0139061100000000
31.0078700000000000,-0.0264246800000000
31.0719000000000000,-0.0369743500000000
31.1199000000000000,-0.0435487200000000
31.1679300000000000,-0.0492020800000000
31.2160300000000000,-0.0501409100000000
31.2640000000000000,-0.0485140800000000
31.3119000000000000,-0.0430967700000000
31.3599000000000000,-0.0346186900000000
31.4078300000000000,-0.0234396700000000
31.4719000000000000,-0.0096753930000000
31.5199000000000000,0.0028667650000000
31.5678300000000000,0.0148496800000000
31.6159700000000000,0.0265956000000000
31.6639700000000000,0.0357978000000000
31.7119300000000000,0.0430723300000000
31.7599000000000000,0.0458269100000000
31.8240300000000000,0.0447287600000000
31.8719700000000000,0.0389539500000000
31.9198300000000000,0.0310870800000000
31.9679000000000000,0.0199648200000000
32.0158000000000000,0.0073085420000000
32.0638700000000000,-0.0054619110000000
32.1118000000000000,-0.0182406600000000
32.1599000000000000,-0.0284131900000000
32.2238700000000000,-0.0366317000000000
32.2719000000000000,-0.0464203100000000
32.3198700000000000,-0.0488060100000000
32.3678300000000000,-0.0487514800000000
32.4158700000000000,-0.0439141900000000
32.4638000000000000,-0.0377396100000000
32.5118700000000000,-0.0247459400000000
32.5598000000000000,-0.0136190100000000
32.6239000000000000,-0.0011869160000000
32.6719700000000000,0.0111366200000000
32.7198700000000000,0.0236004000000000
32.7679000000000000,0.0336009900000000
32.8158700000000000,0.0408404700000000
32.8639700000000000,0.0445977200000000
32.9118300000000000,0.0446468700000000
32.9758300000000000,0.0420916900000000
33.0240300000000000,0.0347484300000000
33.0719700000000000,0.0264766700000000
33.1199300000000000,0.0146202900000000
33.1679000000000000,0.0022934250000000
33.2158700000000000,-0.0109210800000000
33.2639000000000000,-0.0223119100000000
33.3119300000000000,-0.0324848400000000
33.3758000000000000,-0.0384835400000000
33.4240000000000000,-0.0464574100000000
33.4719300000000000,-0.0479029000000000
33.5201300000000000,-0.0461881400000000
33.5679000000000000,-0.0409995400000000
33.6158000000000000,-0.0335777000000000
33.6639000000000000,-0.0227772700000000
33.7278700000000000,-0.0102324500000000
33.7758000000000000,0.0023436290000000
33.8238700000000000,0.0147653600000000
33.8720000000000000,0.0262735600000000
33.9199000000000000,0.0341578200000000
33.9678000000000000,0.0410249200000000
34.0158000000000000,0.0434930300000000
34.0639000000000000,0.0430411200000000
34.1278700000000000,0.0373929400000000
34.1758300000000000,0.0298441800000000
34.2239700000000000,0.0200434300000000
34.2720000000000000,0.0086502440000000
34.3199000000000000,-0.0042053560000000
34.3679000000000000,-0.0164343600000000
34.4158000000000000,-0.0270553300000000
34.4639000000000000,-0.0361287800000000
34.5279000000000000,-0.0432076800000000
34.5758000000000000,-0.0463181300000000
34.6239700000000000,-0.0465055600000000
34.6719300000000000,-0.0421705000000000
34.7199700000000000,-0.0375487300000000
34.7678700000000000,-0.0283154900000000
34.8158000000000000,-0.0172185900000000
34.8799000000000000,-0.0051722270000000
34.9278300000000000,0.0070676010000000
34.9758300000000000,0.0185462400000000
35.0238300000000000,0.0286752800000000
35.0718000000000000,0.0362447600000000
35.1199300000000000,0.0417274000000000
35.1678300000000000,0.0422551300000000
35.2158300000000000,0.0398017100000000
35.2799000000000000,0.0337016400000000
35.3279300000000000,0.0248100500000000
35.3759700000000000,0.0145409200000000
35.4239300000000000,0.0022543180000000
35.4720000000000000,-0.0097552660000000
35.5198300000000000,-0.0215500700000000
35.5679000000000000,-0.0317183200000000
35.6158000000000000,-0.0379240600000000
35.6799000000000000,-0.0432883400000000
35.7278300000000000,-0.0447424200000000
35.7758300000000000,-0.0437262800000000
35.8239700000000000,-0.0385815300000000
35.8718000000000000,-0.0321239700000000
35.9199000000000000,-0.0228983200000000
35.9679000000000000,-0.0112948700000000
36.0319700000000000,0.0005005129000000
36.0798300000000000,0.0114577400000000
36.1279000000000000,0.0220097100000000
36.1759300000000000,0.0302058700000000
36.2240700000000000,0.0358778300000000
36.2718700000000000,0.0404524100000000
36.3199300000000000,0.0400768100000000
36.3679700000000000,0.0344560700000000
36.4319700000000000,0.0274798800000000
36.4798700000000000,0.0185478000000000
36.5278300000000000,0.0078553510000000
36.5758700000000000,-0.0043610210000000
36.6238300000000000,-0.0156075500000000
36.6718300000000000,-0.0266055900000000
36.7199000000000000,-0.0350637700000000
36.7838300000000000,-0.0408254300000000
36.8319000000000000,-0.0435713600000000
36.8798300000000000,-0.0438227100000000
36.9278000000000000,-0.0413913100000000
36.9759000000000000,-0.0354622500000000
37.0239700000000000,-0.0285380300000000
37.0720000000000000,-0.0181505600000000
37.1199300000000000,-0.0063647750000000
37.1837700000000000,0.0048552700000000
37.2317300000000000,0.0156162300000000
37.2799000000000000,0.0248280600000000
37.3278700000000000,0.0326216100000000
37.3757700000000000,0.0380868900000000
37.4239000000000000,0.0389000700000000
37.4718300000000000,0.0369485300000000
37.5199000000000000,0.0309391400000000
37.5838300000000000,0.0233246800000000
37.6319700000000000,0.0132468800000000
37.6798700000000000,0.0020067270000000
37.7278700000000000,-0.0098355590000000
37.7758700000000000,-0.0201353500000000
