t,x
26.9598,0.03833871
27.00787,0.03676414
27.05597,0.03465229
27.10383,0.02881225
27.168,0.02068934
27.21593,0.01059929
27.26383,0.00007823884
27.3118,-0.01088972
27.35983,-0.02090426
27.4078,-0.02944659
27.45587,-0.03652855
27.50383,-0.03821078
27.56797,-0.03983303
27.6159,-0.03836487
27.66387,-0.03423838
27.71197,-0.02571496
27.75983,-0.01682036
27.80807,-0.006933163
27.85597,0.004165715
27.91993,0.01455455
27.96797,0.0238138
28.01597,0.03141095
28.06383,0.03562815
28.11193,0.03786335
28.15997,0.03726601
28.20783,0.03392506
28.25593,0.02654028
28.31987,0.01773249
28.36793,0.007899476
28.4159,-0.003091868
28.46387,-0.01343353
28.51193,-0.0228413
28.55987,-0.03025761
28.60797,-0.03480283
28.656,-0.03720207
28.7199,-0.03706763
28.76803,-0.03420171
28.81583,-0.02846084
28.86387,-0.02117102
28.91187,-0.0120024
28.95983,-0.001786136
29.008,0.008489924
29.07183,0.01791798
29.11993,0.02541535
29.168,0.03335619
29.2159,0.03640648
29.26383,0.02648031
29.31183,0.03335619
29.35987,0.02814784
29.4079,0.02199635
29.4719,0.01292737
29.51987,0.00237264
29.56797,-0.008192147
29.61597,-0.01749053
29.66387,-0.02600307
29.71197,-0.03139488
29.75997,-0.03485765
29.80797,-0.03480283
29.87193,-0.03323721
29.91997,-0.02912291
29.968,-0.02199057
30.01587,-0.01352424
30.064,-0.003148522
30.11187,0.006461647
30.15983,0.01635364
30.22393,0.02464921
30.27183,0.03111615
30.31993,0.03562815
30.36793,0.03737211
30.4159,0.0362522
30.46387,0.03263234
30.51193,0.02426832
30.55983,0.01545325
30.62397,0.006355059
30.67197,-0.0037855
30.71987,-0.01362267
30.7679,-0.02238766
30.81587,-0.02930348
30.86387,-0.03139488
30.9119,-0.0335834
30.97583,-0.03312188
31.024,-0.02974104
31.07183,-0.02465402
31.11983,-0.01889906
31.168,-0.009885185
31.21593,-0.0006735505
31.26387,0.009414266
31.31187,0.01835881
31.37603,0.0254433
31.4241,0.02994823
31.47183,0.03335619
31.52,0.03332141
31.568,0.0307072
31.61583,0.02426832
31.66383,0.01674832
31.71187,0.007716023
31.77593,-0.002000632
31.824,-0.01186987
31.87193,-0.02080437
31.91987,-0.02857493
31.968,-0.03253086
32.01597,-0.03366684
32.06383,-0.03364291
32.128,-0.03091057
32.17603,-0.02411769
32.22383,-0.02003504
32.27193,-0.01140287
32.3199,-0.002029258
32.36797,0.007751294
32.41597,0.01738552
32.46383,0.02529036
32.528,0.02143239
32.57603,0.03108422
32.62387,0.03198986
32.67187,0.03052667
32.72,0.02661497
32.7679,0.02086037
32.81593,0.01239937
32.87993,0.002911597
32.928,-0.006831496
32.97587,-0.01621233
33.02383,-0.02421809
33.07193,-0.03019083
33.11983,-0.03139488
33.16787,-0.03304832
33.21593,-0.03195465
33.28013,-0.0281862
33.32803,-0.02457897
33.37583,-0.01696814
33.42397,-0.00794352
33.47183,0.00153805
33.51983,0.01048226
33.56793,0.01859403
33.6159,0.02526312
33.67983,0.02994823
33.72783,0.03182377
33.77597,0.03131322
33.8239,0.0283016
33.87183,0.02426832
33.91987,0.01681606
33.9679,0.007798355
34.0319,-0.001111804
34.07983,-0.01023058
34.12787,-0.01870295
34.17597,-0.0253977
34.22403,-0.03052408
34.27203,-0.03253086
34.31983,-0.0326255
34.36787,-0.03045601
34.43193,-0.02798692
34.4799,-0.02118533
34.528,-0.01347071
34.57583,-0.004500313
34.62397,0.004285072
34.67187,0.0126729
34.7198,0.01975636
34.78387,0.02441133
34.83187,0.02881225
34.87993,0.02935876
34.928,0.0276491
34.976,0.02313233
35.02383,0.01683535
35.0719,0.008846122
35.11983,0.001504935
35.1839,-0.007481084
35.2319,-0.01571842
35.2799,-0.02475738
35.3279,-0.0300846
35.3758,-0.03253086
35.4238,-0.03352155
35.47203,-0.03198489
35.51987,-0.02816382
35.5838,-0.02344299
35.63183,-0.01569678
35.6801,-0.007476249
35.72797,0.001508266
35.77593,0.009776033
35.8239,0.01734269
35.87193,0.0232314
35.93597,0.0254043
35.98397,0.02678078
36.03187,0.02604873
36.07983,0.02308003
36.12793,0.017691
36.17597,0.01065117
36.22397,0.002652259
36.2719,-0.005917037
36.33597,-0.01476652
36.38393,-0.02272758
36.43193,-0.02841611
36.4799,-0.03287811
36.52797,-0.03500051
36.57593,-0.03483212
36.62393,-0.03164946
36.6718,-0.02657327
36.736,-0.01989179
36.7839,-0.01199587
36.83187,-0.003544579
36.87987,0.005014615
36.92787,0.01292567
36.9759,0.01928763
37.02393,0.02373442
37.08793,0.02605573
37.13593,0.02606614
37.18397,0.02424791
37.23183,0.01975077
37.2798,0.01354282
37.3279,0.005644668
37.37587,-0.003237649
37.4239,-0.01138952
37.48787,-0.0186522
37.5359,-0.02542707
37.58397,-0.03063716
37.63187,-0.03372492
37.67977,-0.03432962
37.72793,-0.03278279
37.77597,-0.02886684
37.83987,-0.02340886
37.8878,-0.01587809
37.9359,-0.007909553
37.9839,0.0007159399
38.03193,0.008477563
38.07983,0.01549131
38.1279,0.0204968
38.176,0.02367484
38.23997,0.0247534
38.2879,0.02373404
38.33597,0.02025057
38.38393,0.0148929
38.43177,0.007939706
38.4798,-0.0001945378
38.52793,-0.008465158
38.57593,-0.01649731
38.6398,-0.0233013
38.68787,-0.02880352
38.73593,-0.03277621
38.7839,-0.03437843
38.83187,-0.03364958
38.87987,-0.03056783
38.92793,-0.02522784
38.99187,-0.01894421
39.0398,-0.01124524
39.08793,-0.002776676
39.1361,0.005205142
39.18393,0.01261103
39.23193,0.01850952
39.2798,0.02265606
39.32787,0.02439844
39.39193,0.02426939
39.4399,0.02182114
39.4879,0.01746136
39.53597,0.01111617
39.584,0.003585603
39.63193,-0.004768642
39.67997,-0.01315158
39.74393,-0.01994961
39.79183,-0.02594975
39.83987,-0.03065274
39.8879,-0.03315642
39.93587,-0.0333458
39.98393,-0.03113577
40.03193,-0.02689078
40.0798,-0.02110684
40.1438,-0.01372862
40.19193,-0.005621375
40.23983,0.002330017
40.2878,0.009872824
40.3358,0.01618799
40.3839,0.02089246
40.43193,0.02360608
40.4798,0.02405966
40.5439,0.02265834
40.5919,0.01900518
40.6398,0.0136607
40.68787,0.006342564
40.73587,-0.001642679
40.78383,-0.009526166
40.83193,-0.01730508
40.89597,-0.02353424
40.9439,-0.02875561
40.99187,-0.03221285
41.03987,-0.03325521
41.08787,-0.03167957
41.1359,-0.02834985
41.184,-0.0232357
41.23203,-0.01648846
41.29597,-0.008847675
41.34393,-0.0008626018
41.39183,0.006732414
41.4399,0.01353858
41.4879,0.01881494
41.53587,0.02218872
41.58393,0.02358186
41.64793,0.02306602
41.69597,0.02009583
41.74393,0.01545067
41.79187,0.009192061
